,Person1,Person2,similarity
0,TCGA-3C-AALI,TCGA-A8-A0A7,1.0
1,TCGA-3C-AALI,TCGA-BH-A0B7,1.0
2,TCGA-3C-AALI,TCGA-EW-A6SD,1.0
3,TCGA-3C-AALJ,TCGA-A1-A0SI,1.0
4,TCGA-3C-AALJ,TCGA-A2-A0CW,1.0
5,TCGA-3C-AALJ,TCGA-A2-A0D4,1.0
6,TCGA-3C-AALJ,TCGA-A2-A0EY,1.0
7,TCGA-3C-AALJ,TCGA-A2-A25C,1.0
8,TCGA-3C-AALJ,TCGA-A2-A4S3,1.0
9,TCGA-3C-AALJ,TCGA-A8-A06R,1.0
10,TCGA-3C-AALJ,TCGA-A8-A075,1.0
11,TCGA-3C-AALJ,TCGA-A8-A082,1.0
12,TCGA-3C-AALJ,TCGA-A8-A084,1.0
13,TCGA-3C-AALK,TCGA-A2-A0YI,1.0
14,TCGA-3C-AALK,TCGA-BH-A8FY,1.0
15,TCGA-3C-AALK,TCGA-GM-A2DI,1.0
16,TCGA-4H-AAAK,TCGA-A2-A0ET,1.0
17,TCGA-4H-AAAK,TCGA-AO-A0JG,1.0
18,TCGA-4H-AAAK,TCGA-AQ-A7U7,1.0
19,TCGA-4H-AAAK,TCGA-BH-A0B5,1.0
20,TCGA-4H-AAAK,TCGA-BH-A0DS,1.0
21,TCGA-4H-AAAK,TCGA-BH-A0DV,1.0
22,TCGA-4H-AAAK,TCGA-BH-A0E2,1.0
23,TCGA-4H-AAAK,TCGA-PE-A5DC,1.0
24,TCGA-5L-AAT0,TCGA-A1-A0SD,1.0
25,TCGA-5L-AAT0,TCGA-A1-A0SF,1.0
26,TCGA-5L-AAT0,TCGA-A2-A4S0,1.0
27,TCGA-5L-AAT0,TCGA-A7-A26J,1.0
28,TCGA-5L-AAT0,TCGA-A7-A3J0,1.0
29,TCGA-5L-AAT0,TCGA-A7-A3RF,1.0
30,TCGA-5L-AAT0,TCGA-A7-A56D,1.0
31,TCGA-5L-AAT0,TCGA-A8-A06Y,1.0
32,TCGA-5L-AAT0,TCGA-A8-A07B,1.0
33,TCGA-5L-AAT0,TCGA-A8-A07Z,1.0
34,TCGA-A1-A0SB,TCGA-BH-A1FU,1.0
35,TCGA-A1-A0SB,TCGA-LD-A9QF,1.0
36,TCGA-A1-A0SD,TCGA-5L-AAT0,1.0
37,TCGA-A1-A0SD,TCGA-A1-A0SF,1.0
38,TCGA-A1-A0SD,TCGA-A2-A4S0,1.0
39,TCGA-A1-A0SD,TCGA-A7-A26J,1.0
40,TCGA-A1-A0SD,TCGA-A7-A3J0,1.0
41,TCGA-A1-A0SD,TCGA-A7-A3RF,1.0
42,TCGA-A1-A0SD,TCGA-A7-A56D,1.0
43,TCGA-A1-A0SD,TCGA-A8-A06Y,1.0
44,TCGA-A1-A0SD,TCGA-A8-A07B,1.0
45,TCGA-A1-A0SD,TCGA-A8-A07Z,1.0
46,TCGA-A1-A0SE,TCGA-A2-A04N,1.0
47,TCGA-A1-A0SE,TCGA-A2-A0CP,1.0
48,TCGA-A1-A0SE,TCGA-A2-A0D3,1.0
49,TCGA-A1-A0SE,TCGA-A2-A0EU,1.0
50,TCGA-A1-A0SE,TCGA-A2-A0EV,1.0
51,TCGA-A1-A0SE,TCGA-A2-A259,1.0
52,TCGA-A1-A0SE,TCGA-A7-A0DC,1.0
53,TCGA-A1-A0SE,TCGA-AO-A03M,1.0
54,TCGA-A1-A0SE,TCGA-AO-A03V,1.0
55,TCGA-A1-A0SE,TCGA-B6-A0IP,1.0
56,TCGA-A1-A0SF,TCGA-5L-AAT0,1.0
57,TCGA-A1-A0SF,TCGA-A1-A0SD,1.0
58,TCGA-A1-A0SF,TCGA-A2-A4S0,1.0
59,TCGA-A1-A0SF,TCGA-A7-A26J,1.0
60,TCGA-A1-A0SF,TCGA-A7-A3J0,1.0
61,TCGA-A1-A0SF,TCGA-A7-A3RF,1.0
62,TCGA-A1-A0SF,TCGA-A7-A56D,1.0
63,TCGA-A1-A0SF,TCGA-A8-A06Y,1.0
64,TCGA-A1-A0SF,TCGA-A8-A07B,1.0
65,TCGA-A1-A0SF,TCGA-A8-A07Z,1.0
66,TCGA-A1-A0SG,TCGA-A2-A0CV,1.0
67,TCGA-A1-A0SG,TCGA-A2-A1G0,1.0
68,TCGA-A1-A0SG,TCGA-A2-A3KC,1.0
69,TCGA-A1-A0SG,TCGA-A7-A4SA,1.0
70,TCGA-A1-A0SG,TCGA-A8-A06U,1.0
71,TCGA-A1-A0SG,TCGA-A8-A07F,1.0
72,TCGA-A1-A0SG,TCGA-A8-A07J,1.0
73,TCGA-A1-A0SG,TCGA-AN-A041,1.0
74,TCGA-A1-A0SG,TCGA-AO-A0JJ,1.0
75,TCGA-A1-A0SG,TCGA-AO-A12C,1.0
76,TCGA-A1-A0SH,TCGA-A2-A04V,1.0
77,TCGA-A1-A0SH,TCGA-A2-A0CT,1.0
78,TCGA-A1-A0SH,TCGA-A2-A0ES,1.0
79,TCGA-A1-A0SH,TCGA-A2-A0T4,1.0
80,TCGA-A1-A0SH,TCGA-A2-A0T5,1.0
